,Actual_Price,Predicted_Price,Date
2767,223.9566650390625,225.92726202943078,2021-04-29
2768,229.5733337402344,229.957691736223,2021-04-30
2769,226.9199981689453,226.38880056604197,2021-05-01
2770,226.5666656494141,229.4417630557813,2021-05-02
2771,225.97332763671875,226.03871956884296,2021-05-03
2772,226.3000030517578,230.8334207202161,2021-05-04
2773,219.8600006103516,220.78028759140284,2021-05-05
2774,214.88333129882807,215.62761028216912,2021-05-06
2775,217.60333251953125,215.1777776847743,2021-05-07
2776,218.98333740234372,216.89957722224833,2021-05-08
2777,228.5666656494141,227.7020618726106,2021-05-09
2778,222.8466644287109,225.90721239428137,2021-05-10
2779,217.7933349609375,221.45510336955354,2021-05-11
2780,216.86666870117188,216.7845376526438,2021-05-12
2781,214.7400054931641,215.4103866150181,2021-05-13
2782,215.4066619873047,212.78664446831993,2021-05-14
2783,220.1666717529297,217.36344336609218,2021-05-15
2784,218.42999267578125,218.72100758340267,2021-05-16
2785,216.4199981689453,217.29814024671649,2021-05-17
2786,214.4600067138672,213.48910112190885,2021-05-18
2787,219.2066650390625,220.72750900662447,2021-05-19
2788,214.9266662597656,213.73101564129766,2021-05-20
2789,215.66000366210935,215.74164103592278,2021-05-21
2790,225.7833404541016,226.16821894017858,2021-05-22
2791,229.0666656494141,230.53730875358298,2021-05-23
2792,236.55667114257807,240.51154366870298,2021-05-24
2793,236.5800018310547,236.130337728246,2021-05-25
2794,236.97332763671875,239.99397507156723,2021-05-26
2795,238.2100067138672,238.3236973966214,2021-05-27
2796,233.0333404541016,234.7984456664992,2021-05-28
2797,237.9199981689453,237.52353893279488,2021-05-29
2798,236.663330078125,235.36549299451596,2021-05-30
2799,235.94000244140625,235.6512370753231,2021-05-31
2800,240.75,238.24909577986813,2021-06-01
2801,239.05667114257807,240.28084399846452,2021-06-02
2802,228.72332763671875,229.54880253474215,2021-06-03
2803,221.90333557128903,218.99554353876675,2021-06-04
2804,229.663330078125,230.45515003228047,2021-06-05
2805,224.4900054931641,225.60075765007977,2021-06-06
2806,226.7533264160156,227.73904676067156,2021-06-07
2807,235.43333435058597,234.9912865948829,2021-06-08
2808,236.163330078125,235.71719302510377,2021-06-09
2809,237.0666656494141,237.23999590204048,2021-06-10
2810,233.72000122070312,235.18749958696327,2021-06-11
2811,237.30667114257807,236.6091892095608,2021-06-12
2812,243.6366729736328,241.9918118121538,2021-06-13
2813,245.2400054931641,244.31308563105648,2021-06-14
2814,244.69667053222656,245.6246300954223,2021-06-15
2815,244.1300048828125,245.07435736828884,2021-06-16
2816,244.52333068847656,241.99228157043567,2021-06-17
2817,250.97332763671875,251.87376589522117,2021-06-18
2818,251.2899932861328,249.44542043335323,2021-06-19
2819,251.6199951171875,252.49790298945723,2021-06-20
2820,245.42333984375,247.96020802534525,2021-06-21
2821,247.6666717529297,240.70388404047205,2021-06-22
2822,248.163330078125,248.99645097963185,2021-06-23
2823,251.94332885742188,249.70055874589545,2021-06-24
2824,252.3300018310547,250.77460781284196,2021-06-25
2825,253.163330078125,251.0902862366672,2021-06-26
2826,243.38999938964844,242.90564218114693,2021-06-27
2827,246.4600067138672,246.17900920085577,2021-06-28
2828,250.64666748046875,249.1306077996797,2021-06-29
2829,251.2133331298828,250.2086640267099,2021-06-30
2830,258.1300048828125,256.448856929377,2021-07-01
2831,263.78668212890625,264.0086574214423,2021-07-02
